x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,y
22.453954,89.334610,4.038600,4.038600,6.350000,103.570352,0.000000,0.000000,0.000000,-0.000721,-0.000656,0.619054,247.000000,377.000000,135.000000,1.000000,0.636000,1.572327,0.216799,1.321508,0.655172,2.792593,0.546559,0.000000
1014.468170,843.713205,9.524966,9.524966,33.337500,3024.544088,0.000000,0.000000,0.000000,-0.000363,-0.000462,1.094295,579.000000,872.000000,296.000000,1.000000,0.285713,3.500012,0.335412,1.162456,0.663991,2.945946,0.511226,0.000000
125.984960,262.334593,14.566900,5.556232,5.556250,449.706655,0.000000,-0.000009,-0.000009,1.590730,0.000467,0.000219,674.000000,1019.000000,349.000000,2.621723,0.999997,0.381430,0.280149,1.361036,0.661433,2.919771,0.517804,0.000000
554.583170,967.345674,63.500000,9.220200,9.220200,5398.267599,0.000000,0.000000,0.000000,-3.775989,-0.005326,-0.004495,161.000000,248.000000,91.000000,6.887052,1.000000,0.145200,0.102734,0.770193,0.649194,2.725275,0.565217,0.000000
148.945846,308.758554,6.400800,6.400800,12.700000,520.322076,0.000000,-0.000000,-0.000000,0.001209,-0.002919,0.726194,259.000000,395.000000,141.000000,1.000000,0.504000,1.984127,0.286257,1.516864,0.655696,2.801418,0.544402,0.000000
856.153290,887.485974,9.525000,9.525000,23.415625,2124.397320,-0.000000,-0.000000,-0.000000,-0.002121,0.000120,-3.230286,151.000000,230.000000,88.000000,1.000000,0.406780,2.458333,0.403010,1.653310,0.656522,2.613636,0.582781,0.000000
6051.752951,3862.267006,23.173645,22.093835,65.087500,33324.454906,-0.000000,1.107595,1.107595,-0.002470,0.008608,10.961319,188.000000,283.000000,98.000000,1.048874,0.339448,2.808686,0.181601,1.116797,0.664311,2.887755,0.521277,0.000000
1064.892559,1122.143784,15.087600,15.087600,29.083000,6620.328454,0.000000,0.000000,0.000000,0.000328,-0.001871,-6.895990,147.000000,225.000000,83.000000,1.000000,0.518777,1.927609,0.160852,1.015312,0.653333,2.710843,0.564626,0.000000
44.083232,168.312853,2.184400,2.184400,15.875000,75.749218,-0.000000,-0.000000,-0.000000,-0.006289,0.002199,-0.037414,166.000000,255.000000,93.000000,1.000000,0.137600,7.267441,0.581963,2.270622,0.650980,2.741935,0.560241,0.000000
3118.159345,1994.565184,40.000000,16.000000,16.000000,10240.000051,0.000000,-0.000000,-0.000000,4.399029,0.002182,0.002260,54.000000,89.000000,39.000000,2.500000,1.000000,0.400000,0.304508,1.298545,0.606742,2.282051,0.722222,0.000000
23057.487703,8429.285267,28.575000,28.575000,82.550000,67404.603257,0.000000,0.000000,0.000000,-0.003967,0.004569,-17.956769,201.000000,304.000000,106.000000,1.000000,0.346154,2.888889,0.342076,1.523109,0.661184,2.867925,0.527363,0.000000
